No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
1440,Agus Ferdiansyah,3,2026-09-01,"Pelayanan masih kurang kadang error ,,",Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1441,Mlbb 123,2,2026-09-01,"kocak, udah dibayar lewat M-banking tapi di aplikasi malah tertulis belom dibayar",Negatif,Negatif,Negatif,Administrasi & Iuran,"Pengguna mengeluhkan kendala mutasi data pembayaran, pengecekan tagihan, atau status autodebet iuran.",false
1442,Ajas Sina,5,2026-09-01,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1443,Tri Fernanda,5,2026-09-01,prosesnya cepat dan bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1444,Ilyas Ilyas,1,2026-09-01,setiap kali mau daftar apk nya logout sendiri dan harus daftar ulang kecewa banget asli sumpah👎👎👎👎👎👎,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1445,keall kyee,3,2026-09-01,cra daftarnya ribet. verifikasi ribet gx bsa nol pulsa. hrus dan pulsa jg ribet dftarnya,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1446,aidilsywldn,1,2026-09-01,orang mau daftar aja di persulit aneh dasar,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1447,Oppo Oppo,5,2026-09-01,oke,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1448,Raihan Andri,1,2026-09-01,apk sampah kebanyakan gangguan,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1449,Kaka Uye,1,2026-09-01,kode verifikasi nomor telepon tidak muncul di sms,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1450,Yasin Nuur Ilham,5,2026-09-01,udah aku coba tapi sulit,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1451,Nurulita Ayuning Tyas,1,2026-09-01,kacauuuu banget tiba² log out sendiri aja,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1452,Moch Jibril,5,2026-09-01,terbaik jkn pokoknya👍👍👍,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1453,Ani Susilowati,4,2026-09-01,sangat membantu sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1454,djon o96,5,2026-09-01,aplikasi mudah dan jelas,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1455,RUDY CALM,1,2026-09-01,kode otp gk bisa bisa mau daftar aja susahnya minta ampun..,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1456,Firman Syahrul,1,2026-09-01,"makin kesini makin buruk banget sitem nya gak bisa log in trus gangguan terus, teu baleg tolong atuh dibikin gak ribet buat rakyat kecil jangan di persulit",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1457,andi anis,5,2026-09-01,sangat baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1458,Arif Firman,5,2026-09-01,mntab,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1459,cv.shalom niaga,5,2026-09-01,luar biasa,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1460,Iput Iput,5,2026-09-01,aplikasi nya sangat membantu sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1461,ANGGA EIGHTY SIXX,5,2026-09-01,nice,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1462,Yudi Supriadi,3,2026-09-01,"tolong update nama bank nasionalnya di menu layanan auto debet, terkesan terbatas",Netral,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,true
1463,Self_ i'mOkay,1,2026-09-01,astaga Aplikasi opo ikiiii bikin marah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1464,Tagawa Kitchen,5,2026-09-01,Ini sangat Membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1465,Fitri Finza,5,2026-09-01,super keren pelayanan kesehatan yg sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1466,Rainbow Collection,5,2026-09-01,Terima kasih sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1467,mr “sugi” sugi,5,2026-09-01,"cukup membantu, dan bagus",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1468,Feni Yati,5,2026-09-01,lebih ditingkatkan lagi piturnya,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1469,Ary Santiago,5,2026-09-01,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1470,Olip Pinki,5,2026-09-01,sangat berterimakasih dengan adanya BPJS ini.ibu saya pasien kangker PD Alhamdulillah ditangani cepat dan gratis,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1471,Giwang Yasa,5,2026-09-01,sangat penting,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1472,Febrian Fauzi,1,2026-09-01,"Mau daftar online saja sudah, dipersulit, kode OTP tidak pernah masuk, ganti nomor HP, tetap OTP tidak masuk, gimana mau daftar, baru mau daftar saja sudah ribet, aplikasi diperbaiki lah, jangan anggaran dikorupsi terus",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1473,Asep Sulaeman,5,2026-09-01,saya tida bisa mnenduhyaa,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1474,Yupri Hariwanto,1,2026-09-01,aplikasi tolol mau buka aja susahnya minta ampun heran,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1475,Anita Fidhi,3,2026-09-01,baik,Netral,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,true
1476,Neng arsih Amnda,5,2026-09-01,sangat suka,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1477,may lopp,1,2026-09-01,aplikasi gak jelas ga membantu sama sekali giliran kaya gini di persulit padahal udah verifikasi wajahnya berkali kali ttp gagal sampe sempet ganti hp sama aja gagal ga membantu,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna kesulitan dalam verifikasi biometrik pengenalan wajah saat pendaftaran / perubahan data.,false
1478,rani septiani,4,2026-09-01,kenapa gk bisa kebuka,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1479,Rendy Djadoel,5,2026-09-01,sangat berguna sekali,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1480,Holid Ridwan,5,2026-09-01,pelayanan online cepat,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1481,Arinda Indriana,5,2026-09-01,sangat di permudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1482,Novri Ansyah,5,2026-09-01,baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1483,Adriadi Indra (Indra adriyadi),1,2026-09-01,"aplikasi untuk rehab tidak bisa di akses, domain error, penerimaan otw error",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1484,Bimtra Indro,5,2026-09-01,baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1485,Deds DDQ,5,2026-09-01,jika masuk kenapa harus pakai kode Chapya?. ini merepotkan bagi Orang Tua!.,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('jika masuk kenapa harus pakai kode Chapya?. i...'), terdeteksi sentimen negatif tersirat.",false
1486,Imam Daffa,1,2026-09-01,aplikasi nya ga jelas saya mau daftar bpjs program rehab gagal terus jadi untuk apa program itu ada sedangkan mau daftar gagal trus mau masuk otp nya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1487,Piyok Dotdot,5,2026-09-01,sangat mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1488,Endro Joe,5,2026-09-01,"Saya mau daftar kok gak bisa ya? Ada keterangan : ""pendaftaran pengguna jkn tidak dapat dilanjutkan karena no hp tidak sesuai"" gitu terus, itu kenapa ya?",Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1489,Hasanah Nur pratama,5,2026-09-01,"sangat membantu, bagus 👍👍👍",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1490,Elin Nurhasanah,1,2026-09-01,aplikasi nya bagus cuma entah kenapa ga bisa Mulu buat ambil nomornya untuk hari ini,Positif,Positif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,true
1491,Rosita Hasanah,1,2026-09-01,"aplikasi jelek, lagi pilih dokter tiba2 keluar aplikasi disuruh login lagi",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1492,Rudi hamda,5,2026-09-01,mobil JKN sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1493,Tony Brotony,5,2026-09-01,keren mudah digunakan,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1494,U_noes ARTM87,4,2026-09-01,salah nik. sandi atau capta. padahal semua itu saya scrensoot. baru kali ini salah dan gagal masuk ampe 3x tetep salah. padahal dah cek bener². bug apa gmn ini,Positif,Negatif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 4: Ulasan berisi keluhan keras terkait masalah teknis & bug ('salah nik. sandi atau capta. padahal semua it...'), terdeteksi sentimen negatif tersirat.",false
1495,sami ramadhan,5,2026-09-01,👍,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1496,tri astuti,2,2026-09-01,jgan buat aplikasi kalo gak bisa daftar bikin susah saja,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1497,Anang Gunawan,5,2026-09-01,"sangat membantu,semoga kedepannya semakin baik lagi",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1498,EKA,3,2026-09-01,Mau login tapi nggak bisa udah masukin Captcha dengan benar berkali kali tapi selalu dibilang salah padahal udah bener,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1499,Adinda dedek,5,2026-09-01,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1500,Vicky Aditia,3,2026-09-01,"sistem tolong di perbaiki,mau daftar susah trima notifikasi SMS terlalu lama.. warga ingin di buat mudah,bukanalahan tambah ribet",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1501,Bang Noer,1,2026-09-01,"Aplikasi ini mencatatkan kunjungan layanan yang tidak saya lakukan 4 bulan berturut-turut. Bukan kunjungan real yang tercatat. Berarti ini bisa diatur dari dalam. Rawan korupsi. Setelah komplain dua kali, tidak ada jawaban yang jelas atas apa yang terjadi, dll.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1502,Nurul Hidayati,5,2026-09-01,petugas cabang Sidoarjo ramah² 👍🏻,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1503,J A,5,2026-09-01,sangat terbantu dgn aplikasi ini,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1504,Firman Syah,5,2026-09-01,good job,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1505,Fatimah Timah,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1506,xmyysh,1,2026-09-01,"Kecewa. Mau daftar online, tapi Mobile JKN tidak bisa diunduh karena tidak mendukung HP saya. Padahal HP masih normal dan bisa menjalankan aplikasi lain. Tolong perbaiki, jangan sampai pengguna kesulitan hanya karena masalah kompatibilitas aplikasi.",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1507,Ashraf Abdillah,1,2026-09-01,aduh ga bisa login ini gimana nih,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1508,Sri antok,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1509,raudatul irfan,5,2026-09-01,"katanya rakyat disuruh daftar online biar cepet,,tapi aplikasinya malah kurang bagus,susah buat daftar online yg rujukan ke RS.",Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1510,Topeng Hutam,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1511,Kausar Kausar,5,2026-09-01,semoga di permudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1512,Nurwahidah Bima,5,2026-09-01,"Oke, Krn membantu",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1513,Pemi P,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1514,adera nirvana,1,2026-09-01,pelayan ny lambat ny..sering eror aplikasi,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1515,Teger Lelo,5,2026-09-01,cepat,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1516,Sudana Kadekputra,1,2026-09-01,aplikasinya aneh udah aktifkan login pale sidik jari lama nggk buka harus login ulang trus pake sidik jadi katanya kita blum aktifkan fitur sidik jari.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1517,Kraton Raihanyes,5,2026-09-01,sangat suka,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1518,Dev Sky,5,2026-09-01,sangat baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1519,Betuah Raye,5,2026-09-01,tolong perbarui auto debit nya masukin bank BNI . dan non bank nya akun Dana.,Positif,Positif,Negatif,Masalah Teknis & Bug,"Taktik rating bintang 5: Ulasan berisi keluhan keras terkait masalah teknis & bug ('tolong perbarui auto debit nya masukin bank B...'), terdeteksi sentimen negatif tersirat.",true
1520,Rahmat Taufik,1,2026-09-01,"saya tidak bisa login ke aplikasi jkn , padahal sebelumnya baik² saja . tolong di bantu dong",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1521,THE KINGZ,1,2026-09-01,"ini kenapa logout terus sendiri aduhhhh tolong lahh diperbaiki, mana susah lagi loginnya,",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1522,Udhek Udi,5,2026-09-01,berguna dan bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1523,danang minggu,1,2026-09-01,"tolong perbaiki aplikasi,susah dibuka",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1524,Siti Maesaroh - Jabar,1,2026-09-01,"Tolong dong diperbaiki, ga bisa daftar layanan online dan layanan² lain ga bisa diakses, udah 2 minggu gtu terus karena keterangan offline, padahal jaringan selalu stabil pake beberapa wifi, paket data",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1525,Astuti Wiji,5,2026-09-01,cukup baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1526,Dendy Wira,1,2026-09-01,aplikasi rumit dan banyak menghabiskan waktu.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1527,Suji Anto,5,2026-09-01,kok nggak bisa dibuka ya,Positif,Negatif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,true
1528,Heri Azhari HR,5,2026-09-01,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1529,Bayu Ristanto,1,2026-09-01,"aplikasi internasional aja gak memandang OS android handphone ,ini sekelas jaminan kesehatan ""nasional"" malah salahsatu SKBnya OS android.. anehh !",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
1530,Rahmat Gambreng,1,2026-09-01,mempersulit,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1531,Rinto Hutauruk,1,2026-09-01,"captcha tidak jelas, susah masuk, kayaknya admin sengaja biar susah masuk",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1532,Muhammad Azam Alfarizi,5,2026-09-01,mudah akses,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
1533,Afrizal Fajri,1,2026-09-01,mobil JKN gk ada guna nyaa. masak iya jarang di bukak keluar sendiri setiap mau berobat masuk kata sandi udh di masukin salah teruss . menyusahkan org mau berobat aja. lagi keadaan darurat harus pakai JKN padahal kartu BPJS ada!,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1534,Edo20 Xesrex,1,2026-09-01,"aplikasi mempermudah sih, cuma butuh diperbaiki lagi prihal koneksi nya yang kadang-kadang eror, ini saya lagi butuh sekarang eh malah verifikasi wajah susah, kirim kode lewat SMS gagal terus, capek, tolong di perbaiki, biar masalah kaya gini engga keulang",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1535,Qorri abeng,5,2026-09-01,sangat berguna.. .,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1536,Andri Ariansyaj,1,2026-09-01,gk bisa login verifikasi gk keluar2 kode nya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
1537,Bagusan Aku,1,2026-09-01,"bagus kalo mau semua serba digital. tp masih banyak bug. data 1 pemerintah n ga sinkron, data dikemenkes sama di dispendukcapil juga belum tersinkron, masih mengikuti data lama, yg padahal sudah terbarui data di dukcapil namun di kemenkes belum terbarui. tolong benerin bug² itu. kalau tidak ya bikin aja 1 aplikasi untuk semua program pemerintah. jangan banyak aplikasi namun banyak bug yng muncul. thx u",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
1538,Heri Yanto,5,2026-09-01,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1539,Yerry Wungkana,3,2026-09-01,"Pengalaman bulan Agustus 2026 pemeriksaan dokter rujukan konsultasi gula darah utk pemeriksaan Hba1c sampai ke pemeriksaan lanjut pengambilan sampel darah di Lab. terlalu jauh jaraknya yaitu 1 minggu sesudah konsultasi atau kunjungan rujukan dokter ,belum juga nunggu hasil Labnya entah kapan ❓️banyak waktu yg terbuang percuma,tolong di perbaiki jaraknya kalau boleh langsung ambil darah dan periksa ke Lab waktunya di persingkat.... kalau masalah yg lain²nya sdh agak bagusan ☺️👍",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1540,None,1,2026-09-01,"gak jelas bener ni aplikasi, udah ambil antrean pas hari h malah gak ada jejaknya",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
1541,Sakura Any,1,2026-09-01,mau daftar susah bgt eror mulu .,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
1542,maria puspitasari,5,2026-09-01,"Sangat membantu sekali, terima kasih Mobile JKN 😊",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1543,Nidya Erna,5,2026-09-01,penting,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1544,yeni ermalisa,5,2026-09-01,Good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
1545,Aminatuz Zahra,1,2026-09-01,"Udah bagus ada opsi kirim otp ke nomor whatsapp biar ga harus isi pulsa, Eh malah diilangin fiturnya, hadeeeh",Positif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
1546,SYM Motovlog,1,2026-09-01,"developernya kemana ini,kok aplikasinya ga diurus,udah ganti vendor kah,cuma verivikasi kode otp aja masa ga ke kirim kirim",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
